numero_processo,sabesp_polo,faixa_valor,Actionability_Score,VME_Score_Otimizado,Acao_Estrategica_Final,Categoria_Estrategica
1002008-24.2025.8.26.0238,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1003146-39.2025.8.26.0266,REU,MEDIO,8,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
0003671-05.2011.8.26.0177,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
4007203-78.2025.8.26.0224,REU,MEDIO,8,8.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Ouro"""
1009047-89.2025.8.26.0006,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
4024683-56.2025.8.26.0002,REU,MEDIO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
5001727-17.2025.4.03.6141,REU,BAIXO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
0009356-42.2025.8.26.0002,REU,MEDIO_BAIXO,6,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1002188-63.2025.8.26.0198,REU,MEDIO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1015192-61.2025.8.26.0007,REU,MEDIO,8,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1027705-65.2024.8.26.0405,REU,MEDIO,12,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
0001679-02.2025.8.26.0441,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
1005019-48.2024.8.26.0189,REU,BAIXO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
0507117-83.2007.8.26.0278,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
0012185-96.2024.8.26.0562,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
0009454-12.2025.8.26.0007,REU,BAIXO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1016887-32.2024.8.26.0477,REU,MEDIO_BAIXO,9,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1003378-63.2025.8.26.0068,REU,MEDIO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1011466-97.2025.8.26.0001,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1026580-86.2025.8.26.0224,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
1004352-69.2023.8.26.0586,AUTOR,MUITO_ALTO,4,4.0,COBRANÇA MASSIVA (RECURSO MÍNIMO),"Casos ""Secundários"""
0015078-57.2025.8.26.0002,REU,MEDIO_BAIXO,6,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1007077-39.2025.8.26.0011,AUTOR,ALTO,4,0.0,COBRANÇA MASSIVA (RECURSO MÍNIMO),"Casos ""Secundários"""
1023887-47.2024.8.26.0004,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
1008118-75.2024.8.26.0011,REU,MEDIO,8,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1000865-15.2023.8.26.0191,REU,MEDIO,16,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
0008806-89.2024.8.26.0161,REU,MEDIO_BAIXO,9,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1002008-24.2025.8.26.0238,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1003146-39.2025.8.26.0266,REU,MEDIO,8,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
0003671-05.2011.8.26.0177,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
4007203-78.2025.8.26.0224,REU,MEDIO,8,8.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Ouro"""
1009047-89.2025.8.26.0006,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
4024683-56.2025.8.26.0002,REU,MEDIO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
5001727-17.2025.4.03.6141,REU,BAIXO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
0009356-42.2025.8.26.0002,REU,MEDIO_BAIXO,6,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1002188-63.2025.8.26.0198,REU,MEDIO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1015192-61.2025.8.26.0007,REU,MEDIO,8,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1027705-65.2024.8.26.0405,REU,MEDIO,12,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
0001679-02.2025.8.26.0441,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
1005019-48.2024.8.26.0189,REU,BAIXO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
0507117-83.2007.8.26.0278,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
0012185-96.2024.8.26.0562,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
0009454-12.2025.8.26.0007,REU,BAIXO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1016887-32.2024.8.26.0477,REU,MEDIO_BAIXO,9,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1003378-63.2025.8.26.0068,REU,MEDIO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1011466-97.2025.8.26.0001,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1026580-86.2025.8.26.0224,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
1004352-69.2023.8.26.0586,AUTOR,MUITO_ALTO,4,4.0,COBRANÇA MASSIVA (RECURSO MÍNIMO),"Casos ""Secundários"""
0015078-57.2025.8.26.0002,REU,MEDIO_BAIXO,6,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1007077-39.2025.8.26.0011,AUTOR,ALTO,4,0.0,COBRANÇA MASSIVA (RECURSO MÍNIMO),"Casos ""Secundários"""
1023887-47.2024.8.26.0004,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
1008118-75.2024.8.26.0011,REU,MEDIO,8,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1000865-15.2023.8.26.0191,REU,MEDIO,16,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
0008806-89.2024.8.26.0161,REU,MEDIO_BAIXO,9,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1002008-24.2025.8.26.0238,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1003146-39.2025.8.26.0266,REU,MEDIO,8,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
0003671-05.2011.8.26.0177,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
4007203-78.2025.8.26.0224,REU,MEDIO,8,8.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Ouro"""
1009047-89.2025.8.26.0006,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
4024683-56.2025.8.26.0002,REU,MEDIO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
5001727-17.2025.4.03.6141,REU,BAIXO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
0009356-42.2025.8.26.0002,REU,MEDIO_BAIXO,6,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1002188-63.2025.8.26.0198,REU,MEDIO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1015192-61.2025.8.26.0007,REU,MEDIO,8,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1027705-65.2024.8.26.0405,REU,MEDIO,12,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
0001679-02.2025.8.26.0441,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
1005019-48.2024.8.26.0189,REU,BAIXO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
0507117-83.2007.8.26.0278,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
0012185-96.2024.8.26.0562,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
0009454-12.2025.8.26.0007,REU,BAIXO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1016887-32.2024.8.26.0477,REU,MEDIO_BAIXO,9,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1003378-63.2025.8.26.0068,REU,MEDIO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1011466-97.2025.8.26.0001,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1026580-86.2025.8.26.0224,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
1004352-69.2023.8.26.0586,AUTOR,MUITO_ALTO,4,4.0,COBRANÇA MASSIVA (RECURSO MÍNIMO),"Casos ""Secundários"""
0015078-57.2025.8.26.0002,REU,MEDIO_BAIXO,6,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1007077-39.2025.8.26.0011,AUTOR,ALTO,4,0.0,COBRANÇA MASSIVA (RECURSO MÍNIMO),"Casos ""Secundários"""
1023887-47.2024.8.26.0004,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
1008118-75.2024.8.26.0011,REU,MEDIO,8,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1000865-15.2023.8.26.0191,REU,MEDIO,16,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
0008806-89.2024.8.26.0161,REU,MEDIO_BAIXO,9,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1002008-24.2025.8.26.0238,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1003146-39.2025.8.26.0266,REU,MEDIO,8,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
0003671-05.2011.8.26.0177,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
4007203-78.2025.8.26.0224,REU,MEDIO,8,8.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Ouro"""
1009047-89.2025.8.26.0006,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
4024683-56.2025.8.26.0002,REU,MEDIO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
5001727-17.2025.4.03.6141,REU,BAIXO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
0009356-42.2025.8.26.0002,REU,MEDIO_BAIXO,6,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1002188-63.2025.8.26.0198,REU,MEDIO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1015192-61.2025.8.26.0007,REU,MEDIO,8,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1027705-65.2024.8.26.0405,REU,MEDIO,12,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
0001679-02.2025.8.26.0441,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
1005019-48.2024.8.26.0189,REU,BAIXO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
0507117-83.2007.8.26.0278,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
0012185-96.2024.8.26.0562,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
0009454-12.2025.8.26.0007,REU,BAIXO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1016887-32.2024.8.26.0477,REU,MEDIO_BAIXO,9,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1003378-63.2025.8.26.0068,REU,MEDIO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1011466-97.2025.8.26.0001,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1026580-86.2025.8.26.0224,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
1004352-69.2023.8.26.0586,AUTOR,MUITO_ALTO,4,4.0,COBRANÇA MASSIVA (RECURSO MÍNIMO),"Casos ""Secundários"""
0015078-57.2025.8.26.0002,REU,MEDIO_BAIXO,6,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1007077-39.2025.8.26.0011,AUTOR,ALTO,4,0.0,COBRANÇA MASSIVA (RECURSO MÍNIMO),"Casos ""Secundários"""
1023887-47.2024.8.26.0004,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
1008118-75.2024.8.26.0011,REU,MEDIO,8,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1000865-15.2023.8.26.0191,REU,MEDIO,16,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
0008806-89.2024.8.26.0161,REU,MEDIO_BAIXO,9,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1002008-24.2025.8.26.0238,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1003146-39.2025.8.26.0266,REU,MEDIO,8,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
0003671-05.2011.8.26.0177,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
4007203-78.2025.8.26.0224,REU,MEDIO,8,8.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Ouro"""
1009047-89.2025.8.26.0006,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
4024683-56.2025.8.26.0002,REU,MEDIO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
5001727-17.2025.4.03.6141,REU,BAIXO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
0009356-42.2025.8.26.0002,REU,MEDIO_BAIXO,6,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1002188-63.2025.8.26.0198,REU,MEDIO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1015192-61.2025.8.26.0007,REU,MEDIO,8,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1027705-65.2024.8.26.0405,REU,MEDIO,12,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
0001679-02.2025.8.26.0441,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
1005019-48.2024.8.26.0189,REU,BAIXO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
0507117-83.2007.8.26.0278,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
0012185-96.2024.8.26.0562,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
0009454-12.2025.8.26.0007,REU,BAIXO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1016887-32.2024.8.26.0477,REU,MEDIO_BAIXO,9,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1003378-63.2025.8.26.0068,REU,MEDIO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1011466-97.2025.8.26.0001,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1026580-86.2025.8.26.0224,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
1004352-69.2023.8.26.0586,AUTOR,MUITO_ALTO,4,4.0,COBRANÇA MASSIVA (RECURSO MÍNIMO),"Casos ""Secundários"""
0015078-57.2025.8.26.0002,REU,MEDIO_BAIXO,6,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1007077-39.2025.8.26.0011,AUTOR,ALTO,4,0.0,COBRANÇA MASSIVA (RECURSO MÍNIMO),"Casos ""Secundários"""
1023887-47.2024.8.26.0004,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
1008118-75.2024.8.26.0011,REU,MEDIO,8,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1000865-15.2023.8.26.0191,REU,MEDIO,16,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
0008806-89.2024.8.26.0161,REU,MEDIO_BAIXO,9,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1002008-24.2025.8.26.0238,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1003146-39.2025.8.26.0266,REU,MEDIO,8,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
0003671-05.2011.8.26.0177,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
4007203-78.2025.8.26.0224,REU,MEDIO,8,8.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Ouro"""
1009047-89.2025.8.26.0006,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
4024683-56.2025.8.26.0002,REU,MEDIO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
5001727-17.2025.4.03.6141,REU,BAIXO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
0009356-42.2025.8.26.0002,REU,MEDIO_BAIXO,6,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1002188-63.2025.8.26.0198,REU,MEDIO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1015192-61.2025.8.26.0007,REU,MEDIO,8,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1027705-65.2024.8.26.0405,REU,MEDIO,12,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
0001679-02.2025.8.26.0441,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
1005019-48.2024.8.26.0189,REU,BAIXO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
0507117-83.2007.8.26.0278,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
0012185-96.2024.8.26.0562,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
0009454-12.2025.8.26.0007,REU,BAIXO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1016887-32.2024.8.26.0477,REU,MEDIO_BAIXO,9,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1003378-63.2025.8.26.0068,REU,MEDIO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1011466-97.2025.8.26.0001,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1026580-86.2025.8.26.0224,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
1004352-69.2023.8.26.0586,AUTOR,MUITO_ALTO,4,4.0,COBRANÇA MASSIVA (RECURSO MÍNIMO),"Casos ""Secundários"""
0015078-57.2025.8.26.0002,REU,MEDIO_BAIXO,6,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1007077-39.2025.8.26.0011,AUTOR,ALTO,4,0.0,COBRANÇA MASSIVA (RECURSO MÍNIMO),"Casos ""Secundários"""
1023887-47.2024.8.26.0004,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
1008118-75.2024.8.26.0011,REU,MEDIO,8,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1000865-15.2023.8.26.0191,REU,MEDIO,16,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
0008806-89.2024.8.26.0161,REU,MEDIO_BAIXO,9,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1002008-24.2025.8.26.0238,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1003146-39.2025.8.26.0266,REU,MEDIO,8,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
0003671-05.2011.8.26.0177,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
4007203-78.2025.8.26.0224,REU,MEDIO,8,8.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Ouro"""
1009047-89.2025.8.26.0006,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
4024683-56.2025.8.26.0002,REU,MEDIO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
5001727-17.2025.4.03.6141,REU,BAIXO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
0009356-42.2025.8.26.0002,REU,MEDIO_BAIXO,6,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1002188-63.2025.8.26.0198,REU,MEDIO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1015192-61.2025.8.26.0007,REU,MEDIO,8,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1027705-65.2024.8.26.0405,REU,MEDIO,12,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
0001679-02.2025.8.26.0441,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
1005019-48.2024.8.26.0189,REU,BAIXO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
0507117-83.2007.8.26.0278,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
0012185-96.2024.8.26.0562,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
0009454-12.2025.8.26.0007,REU,BAIXO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1016887-32.2024.8.26.0477,REU,MEDIO_BAIXO,9,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1003378-63.2025.8.26.0068,REU,MEDIO,4,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1011466-97.2025.8.26.0001,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1026580-86.2025.8.26.0224,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
1004352-69.2023.8.26.0586,AUTOR,MUITO_ALTO,4,4.0,COBRANÇA MASSIVA (RECURSO MÍNIMO),"Casos ""Secundários"""
0015078-57.2025.8.26.0002,REU,MEDIO_BAIXO,6,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1007077-39.2025.8.26.0011,AUTOR,ALTO,4,0.0,COBRANÇA MASSIVA (RECURSO MÍNIMO),"Casos ""Secundários"""
1023887-47.2024.8.26.0004,REU,MEDIO_BAIXO,6,6.0,MITIGAÇÃO MÁXIMA (RECURSOS SÊNIOR),"Casos ""Silenciosos"""
1008118-75.2024.8.26.0011,REU,MEDIO,8,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1000865-15.2023.8.26.0191,REU,MEDIO,16,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
0008806-89.2024.8.26.0161,REU,MEDIO_BAIXO,9,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
1002008-24.2025.8.26.0238,REU,MEDIO,4,4.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Secundários"""
1003146-39.2025.8.26.0266,REU,MEDIO,8,0.0,DEFESA PADRÃO (AUTOMAÇÃO),"Casos ""Armadilha"""
